"t","S","E","I","H","C","R","D"
0,5499950,35,15,0,0,0,0
0.25,5499947.6707061,35.8364969146634,15.5221317811419,0.092450687352882,0.00112143052346643,0.87708006558279,1.30196998594724e-05
0.5,5499945.50386232,36.4835541902548,16.0389553061737,0.183579430071634,0.00332927008381849,1.78666892044135,5.05671054700313e-05
0.75,5499943.17940799,37.2715192194827,16.5567226739822,0.274026252680761,0.00607185117525983,2.71214888562759,0.000103124074437849
1,5499940.52897402,38.3464776886407,17.081170627473,0.36322127513784,0.00986200010497088,3.6701025894567,0.000191798886059933
1.25,5499937.79796602,39.4567154946428,17.6174310066662,0.451343072092427,0.0146614200299124,4.66155462974798,0.000328361267724779
1.5,5499935.2502453,40.3420798843246,18.1615204568184,0.538473474730313,0.0204394300350633,5.68671747712419,0.000523977905210892
1.75,5499932.62169667,41.2702386477781,18.7098672425777,0.624667628915175,0.0271681142501887,6.74557218385947,0.000789515741595264
2,5499929.62937521,42.5168748812182,19.2688987004253,0.710057380334404,0.0348221042891725,7.83883612275072,0.00113559698748391
2.25,5499926.55079154,43.797391402594,19.8444711422376,0.794804670790583,0.0433803594480532,8.96758823618757,0.00157264393200418
2.5,5499923.68274968,44.8193830994371,20.4316952512181,0.878992212434077,0.0528256113437511,10.1322432223147,0.00211092266672172
2.75,5499920.72732438,45.884983148975,21.0261744252256,0.962672070264503,0.063142009205452,11.3329433989168,0.00276056964998229
3,5499917.36617569,47.3045472211523,21.6348093089005,1.04598076490449,0.0743152561809857,12.5706401481399,0.00353161506631445
3.25,5499913.91088649,48.7586833172673,22.2639014047235,1.12908708596123,0.0863346864008263,13.8466729978982,0.00443401818165821
3.5,5499910.69419536,49.9197225650646,22.9077208792836,1.2120697816602,0.0991927350375466,15.1616209812011,0.00547770032956549
3.75,5499907.38160906,51.1269989627928,23.5611182782226,1.29497256156125,0.112882387359628,16.5157461951767,0.00667256000515323
4,5499903.6161941,52.7286025941216,24.2316372484921,1.37793325708809,0.127397421341721,17.9102068890985,0.00802848576908648
4.25,5499899.74693139,54.3668927513882,24.9261749538534,1.46112533610534,0.142734817258337,19.3465853724262,0.0095553838554783
4.5,5499896.14619941,55.6752458029817,25.6381728876046,1.5446211469372,0.158894236264971,20.8256033105662,0.0112632043104126
4.75,5499892.43936354,57.0337863501623,26.361738523936,1.6284537743959,0.175875232235319,22.3476206300019,0.0131619482007966
5,5499888.22693776,58.8321666929861,27.1052010946578,1.71276164386577,0.193677589099155,23.9139935453416,0.015261673363824
5.25,5499883.89928636,60.6703867395036,27.8761811379191,1.79772306511441,0.212304076827129,25.5265461047704,0.0175725175039577
5.5,5499879.87277088,62.1385673745818,28.6672595113852,1.88340338336378,0.231759921068663,27.1861342059596,0.0201047204787932
5.75,5499875.72833509,63.661945935677,29.4717714038314,1.96982430496158,0.252049734266911,28.8932049075663,0.0228686261828432
6,5499871.01929053,65.6762528761958,30.2989632542418,2.0571256014655,0.273177939920095,30.6493151103426,0.0258746834875484
6.25,5499866.18199612,67.7343881716791,31.1572978167764,2.14549190791475,0.295151896423994,32.4565406183736,0.029133467193617
6.5,5499861.68176798,69.3783085024724,32.0384329598148,2.23498192583396,0.31798134195177,34.3158715934238,0.0326556986456473
6.75,5499857.0501771,71.0833758797883,32.9348752829038,2.32560598517188,0.341674999206729,36.2278385059239,0.0364522440634555
7,5499851.78800455,73.3365848166927,33.8569191488757,2.4175067621822,0.366241082465531,38.1942095321489,0.0405341122820526
7.25,5499846.38284849,75.6383524390079,34.8139882266402,2.51087745207568,0.391690818208198,40.2173301008578,0.0449124752690846
7.5,5499841.35460369,77.4769264808231,35.7967320294329,2.60577094256374,0.418037851052559,42.2983303139111,0.0495986886417481
7.75,5499836.17983774,79.3835004270266,36.7967517166305,2.70218651410754,0.44529447409483,44.4378248408928,0.0546042876264612
8,5499830.30077069,81.9022088924278,37.8255259656873,2.80027174638759,0.473472217888385,46.6378095063707,0.0599409826594583
8.25,5499824.2621536,84.4749218260428,38.8935636589649,2.90023107333081,0.502585804080748,48.9009233550632,0.0656206807024719
8.5,5499818.64478359,86.529948289575,39.990401333568,3.00211259657692,0.532652499504168,51.2284461889642,0.0716555067982319
8.75,5499812.86387636,88.6607515609485,41.1066406349784,3.10590495826942,0.563687920977913,53.6210807653035,0.0780577984063315
9,5499806.29630854,91.475218915723,42.2550912263979,3.21176288688834,0.595706708249087,56.0810716186463,0.0848400995261191
9.25,5499799.55062202,94.3498689923308,43.4474811537077,3.31990502105538,0.628726954070608,58.6113806782376,0.0920151837109087
9.5,5499793.27560419,96.6460923667038,44.6721116531215,3.43037575607098,0.662769494392286,61.213450457151,0.0995960774960954
9.75,5499786.81799314,99.0268511761026,45.9184749234846,3.54315345993565,0.697853232575512,63.8880780094525,0.107596053549432
10,5499779.48171884,102.171200303375,47.2008720922984,3.65840240845961,0.73399590081613,66.6377818306284,0.116028623694097
10.25,5499771.94654752,105.38268919127,48.5323971018055,3.77635863050746,0.771219017389644,69.4658809719969,0.124907564299775
10.5,5499764.93718835,107.947981176464,49.8999760316239,3.89706387352578,0.809547101276712,72.3739965212245,0.134246942218607
10.75,5499757.72392203,110.607634000687,51.2918659799156,4.02048647933727,0.849002455888551,75.3630279501512,0.14406110697096
11,5499749.52922332,114.120169351641,52.7240368096803,4.14680278721869,0.889606025687834,78.4357970202561,0.154364682848523
11.25,5499741.11239706,117.707648111476,54.2111105505824,4.27626960512457,0.931382938867788,81.5960191393243,0.165172597222148
11.5,5499733.28294166,120.573276996889,55.7384800120899,4.40892703778506,0.974361634716012,84.8455125523257,0.176500109499564
11.75,5499725.22575545,123.544266056693,57.2930251530521,4.544733497888,1.01856804112464,88.1852889957316,0.188362802418041
12,5499716.07234496,127.46788355064,58.8925814071052,4.6838800199112,1.06402653511444,91.6185069532342,0.20077657327142
12.25,5499706.67084674,131.475179945573,60.5534790438498,4.82664779719642,1.11076613717408,95.1493226696093,0.213757665598008
12.5,5499697.92545797,134.676150798057,62.2593998768305,4.97307623434447,1.15881953926216,98.779772882731,0.227322701609889
12.75,5499688.92571885,137.994781930761,63.9956870797171,5.12311374483356,1.20821660354474,102.510993117872,0.241488672562053
13,5499678.70153658,142.377458964404,65.7822608189179,5.27696882323006,1.25898543739658,106.346516442183,0.2562729290551
13.25,5499668.20026325,146.853583010348,67.6373602275877,5.43495090454454,1.31115931417191,110.290990070708,0.271693216535182
13.5,5499658.43186593,150.429040767194,69.542756952805,5.59709957648847,1.3647755890089,114.34669346779,0.287767711622522
13.75,5499648.37938032,154.135905552363,71.4820784802637,5.76335300922085,1.41986843835549,118.514899188317,0.304515011457727
14,5499636.95923692,159.031267207278,73.4775740881539,5.9339400846625,1.47647006184666,122.799557518555,0.321954122969664
14.25,5499625.22960356,164.030992431235,75.5496155018681,6.10920262998651,1.53461841356934,127.205862959698,0.340104502621274
14.5,5499614.31858456,168.024685692774,77.6778413514163,6.28918124954406,1.59435599180034,131.73636505971,0.358986097073303
14.75,5499603.09025901,172.165144755997,79.8439632647961,6.47380344907794,1.65572172988989,136.392488460024,0.378619331361614
15,5499590.3343128,177.633107262045,82.0728323395105,6.6633216240759,1.71875233926167,141.17864853962,0.39902509697719
15.25,5499577.23268737,183.21762961,84.3872025687715,6.85811449095214,1.78349094543033,146.100650221201,0.420224796317894
15.5,5499565.0454385,187.678436570933,86.7643304272488,7.05822446724211,1.84998573649571,151.161343907081,0.442240388154449
15.75,5499552.5037794,192.30316627109,89.1837879050163,7.2635677941604,1.91828090577417,156.36232334269,0.465094374459535
16,5499538.25583119,198.410662101889,91.6733323614486,7.47442374759101,1.98841815209587,161.708522659644,0.488809787116649
16.25,5499523.62178244,204.648341472048,94.2583787946697,7.69121283566971,2.06044632609265,167.206427895428,0.51341023758248
16.5,5499510.00907019,209.630861895327,96.9135231203832,7.91398006267525,2.13441992070061,172.85922483796,0.53891996767041
16.75,5499496.0005056,214.796468862027,99.6159476244779,8.14262962333455,2.21038895446286,178.668695496262,0.565363834827258
17,5499480.0860918,221.61826022773,102.396655869309,8.37747132713113,2.28840064735681,184.640352831982,0.592767297264473
17.25,5499463.74043046,228.585451835241,105.284035099629,8.6189728464608,2.36851019535577,190.781443089976,0.621156469394813
17.5,5499448.53557364,234.150670776896,108.249709639231,8.86718253725481,2.45077908436127,197.095526137299,0.650558178510457
17.75,5499432.88858191,239.920376793222,111.268192584189,9.12199156609216,2.53526378574402,203.584593410662,0.680999946174297
18,5499414.01810533,248.436622256035,114.47249097976,9.38736916910248,2.62319679680617,210.349150128273,0.713065339335134
18.25,5499396.34854501,255.465444025883,117.749225709829,9.66119490373276,2.71353660633745,217.315795563159,0.746258181043877
18.5,5499379.99533669,260.949136932582,121.048593354405,9.94234256939015,2.80635263621797,224.477627866681,0.780609948055482
18.75,5499361.33855541,268.418417289289,124.462455922983,10.2302494183588,2.90169592684978,231.832473828959,0.816152202548745
19,5499340.23050842,277.942445971053,128.048630063611,10.5265770642943,2.99963105476279,239.399290306475,0.852917123216113
19.25,5499320.4654266,285.803148695175,131.715557617116,10.832393166275,3.1002472003629,247.192288214281,0.890938503957173
19.5,5499302.17262627,291.935723487994,135.407649025944,11.1464284091423,3.20362367614898,255.203697825949,0.930251305079308
19.75,5499281.30286075,300.289616690735,139.22768211121,11.4680507899566,3.30981828698169,263.431080711227,0.970890657974533
20,5499257.69090749,310.942194966343,143.240347956259,11.7991168658871,3.41890391837772,271.895636401212,1.01289239547517
20.25,5499235.58109787,319.73431062395,147.343240875241,12.1408190100415,3.53098094341436,280.613256511673,1.05629416657951
20.5,5499215.11812582,326.593431488996,151.474188393475,12.4917355661707,3.64613866515711,289.575245129392,1.10113493399904
20.75,5499191.77237546,335.937527591824,155.74817241836,12.8511579308656,3.76444229850662,298.778870439145,1.14745386039364
21,5499165.35901988,347.853141838136,160.237568633122,13.2211614390839,3.88597390118119,308.247843409929,1.1952909012956
21.25,5499140.62596304,357.687656702814,164.827829468572,13.6030785836812,4.01084625448334,317.99993789699,1.24468805177182
21.5,5499117.73508621,365.35991116831,169.449412923227,13.9953178006199,4.13915973289688,328.025423384335,1.29568878406725
21.75,5499091.61935076,375.8120482747,174.230949854679,14.3970852742762,4.27098774291214,338.32124129276,1.34833680140966
22,5499062.07200408,389.140872846824,179.253408806011,14.8107015346481,4.4064225116895,348.913913519518,1.40267670100819
22.25,5499034.40430483,400.141716909028,184.388655376066,15.2376562204897,4.54559061594066,359.823320674366,1.45875536837759
22.5,5499008.79735083,408.723778945966,189.558900373911,15.6761680436351,4.68860473513652,371.038575723944,1.51662134801409
22.75,5498979.58289098,420.415593830074,194.908040828334,16.12534818689,4.83554736364761,382.556255361248,1.57632344909866
23,5498946.52965017,435.325442563347,200.526655261256,16.5877917695081,4.98652203320807,394.406026718811,1.63791148693522
23.25,5498915.57909199,447.631099323405,206.271407942751,17.065164486765,5.14167068504512,406.610127725991,1.70143784249874
23.5,5498886.93380351,457.230986773439,212.055282137703,17.5554730515831,5.30111969914888,419.156378069291,1.76695675822726
23.75,5498854.25298769,470.30960781899,218.039250581455,18.0577225926844,5.46496167456185,432.040946863728,1.83452277808223
24,5498817.27794256,486.988077424149,224.324640135908,18.5748155951451,5.63331273008597,445.297019981752,1.90419157676515
24.25,5498782.65509823,500.75335172327,230.751108944168,19.1086148739428,5.80633193804829,458.949472580545,1.97602170411678
24.5,5498750.61107461,511.491805635101,237.221317004631,19.6568901550871,5.98416095034724,472.984677845238,2.05007379716197
24.75,5498714.0527529,526.121720339079,243.915337087622,20.2185280819487,6.16690361757311,487.398349140653,2.12640883490011
25,5498672.69075634,544.778562807659,250.946518029017,20.7967750977536,6.35469008878448,502.227608572255,2.20508906573527
25.25,5498633.96009438,560.176537288673,258.135493811608,21.3937146358573,6.54769855124451,517.500281370207,2.2861799586701
25.5,5498598.11426539,572.188547372165,265.373376112488,22.0068514360633,6.74608769363037,533.201122676207,2.36974932168498
25.75,5498557.21860866,588.553674230096,272.861602087137,22.6349397047354,6.94997390759726,549.325336063179,2.45586534930212
26,5498510.94944088,609.423433853332,280.726967248063,23.2816107235073,7.15950299285284,565.914446640972,2.54459765989486
26.25,5498467.62386376,626.647643365541,288.768824674953,23.9491947840811,7.37487447617632,582.999579457965,2.63601947821372
26.5,5498427.52543693,640.084142591767,296.865367851011,24.6349002879595,7.59626606228986,600.563679629277,2.73020664900315
26.75,5498381.77817488,658.390136850178,305.241930947856,25.3373333663472,7.82380813117319,618.601380375369,2.82723545277988
27,5498330.02002708,681.735088000764,314.040349646873,26.0605558274884,8.05766395015338,637.159131731937,2.92718376606527
27.25,5498281.55477189,701.00194168574,323.036172296786,26.8071741378524,8.29805687789793,656.271749606579,3.03013350268338
27.5,5498236.69958957,716.031693265744,332.093142264778,27.5740652687403,8.54518585289922,675.920154269404,3.1361695102021
27.75,5498185.52557512,736.508517093688,341.463323268071,28.3596697609286,8.79919686594097,696.098340759511,3.24537712645634
28,5498127.62777101,762.621940874279,351.305373280483,29.1685310216376,9.06027268768445,716.858267646403,3.35784347728998
28.25,5498073.41359651,784.173423251301,361.36821335252,30.0035644552532,9.3286632995148,738.238878924183,3.47366020731182
28.5,5498023.23783247,800.985124368605,371.499423552205,30.8612763352096,9.60459135714443,760.218829672466,3.59292224527598
28.75,5497965.99385288,823.889914047977,381.980964921691,31.7399220032028,9.88822027971315,782.791400798508,3.71572507062753
29,5497901.2291352,853.09935516174,392.990293305891,32.64458356261,10.1797546207168,806.014711987022,3.84216616506552
29.25,5497840.78031675,877.018589710151,404.23842823522,33.5785216930249,10.4794741043497,829.932321437326,3.97234806707252
29.5,5497785.01856413,895.480430127478,415.550240807394,34.5376954465013,10.7876261550653,854.519066337683,4.10637699053666
29.75,5497721.61428541,920.518439054715,427.231992452995,35.5200621762445,11.1043898900416,879.766471324999,4.24435968915899
30,5497650.1249178,952.317663323098,439.472256497496,36.5311234369798,11.42998755866,905.737646280992,4.38640510252591
30.25,5497583.41954873,978.275550871196,451.954419629836,37.5742939482825,11.7647216962641,932.478837438021,4.53262768908629
30.5,5497521.90437047,998.211418753004,464.485592932585,38.6450545974379,12.1088577515125,959.961559660194,4.68314583384327
30.75,5497451.98027268,1025.39795890823,477.404722523755,39.7410510749707,12.4625846963895,988.175331671592,4.83807844082641
31,5497373.16917352,1060.02970915855,490.920498361391,40.868259317622,12.8261379357328,1017.1886750155,4.99754669164794
